,title,datetime,link,positive,negative,polarity
14,Lam Research's Market Outperformance Should Only Continue,2019-08-19,https://www.thestreet.com/investing/stocks/lam-research-outperformance-should-continue-15042982,12,1,0.218899
13,Lam Research Corporation Declares Quarterly Dividend,2019-11-07,https://www.globenewswire.com/en/news-release/2019/11/07/1943523/0/en/Lam-Research-Corporation-Declares-Quarterly-Dividend.html,7,2,0.122205
12,Is Lam Research Corporation (LRCX) Stock a Good Buy?,2019-11-21,https://www.investorsobserver.com/news/stock-update/is-lam-research-corporation-lrcx-stock-a-good-buy,2,2,-0.0127976
11,Lam Research Offers New Capabilities in its Edge Yield Product Portfolio,2019-12-03,https://finance.yahoo.com/news/lam-research-offers-capabilities-edge-120010556.html,12,5,0.168165
21,Lam Research Roars to New Heights on Improving WFE Industry Conditions,2020-01-31,https://www.fool.com/investing/2020/01/31/lam-research-roars-to-new-heights-on-improving-wfe.aspx,10,1,0.0782643
20,3 Semiconductor Stocks to Buy After Strong Earnings for 2020 Chip Growth,2020-02-06,https://finance.yahoo.com/news/3-semiconductor-stocks-buy-strong-000012052.html,20,16,0.068064
19,Lam Research Unveils Technology Breakthrough for EUV Lithography,2020-02-26,https://www.globenewswire.com/news-release/2020/02/26/1991075/0/en/Lam-Research-Unveils-Technology-Breakthrough-for-EUV-Lithography.html,18,3,0.124414
18,Lam Research Breaks New Ground in Etch Technology and,2020-03-03,https://www.globenewswire.com/en/news-release/2020/03/03/1994503/0/en/Lam-Research-Breaks-New-Ground-in-Etch-Technology-and-Productivity-for-Chipmaking-Processes.html,15,2,0.176775
17,Lam Research (LRCX) is withdrawing prior financial guidance for fiscal quarter ending March 29,2020-03-17,https://www.streetinsider.com/Corporate+News/Lam+Research+%28LRCX%29+is+withdrawing+prior+financial+guidance+for+fiscal+quarter+ending+March+29/16626071.html,5,0,0.19308
16,"Lam Research, Applied Materials Get Fresh Buy Ratings",2020-03-20,https://www.investors.com/news/technology/lam-research-applied-materials-get-fresh-buy-ratings/,8,7,0.115748
15,Lam Research Double-Upgraded at UBS as Chip Outlook Brightens,2020-03-27,https://www.thestreet.com/investing/lam-research-wins-ubs-double-upgrade-as-semiconductor-outlook-brightens,7,2,0.0898057
29,3 Top Artificial Intelligence Stocks to Buy in April,2020-04-05,https://www.fool.com/investing/2020/04/05/3-top-artificial-intelligence-stocks-to-buy-in-apr.aspx,25,15,0.0924809
28,"Got $1,000? Buying These Stocks Now Would Be a Smart Idea",2020-04-20,https://www.fool.com/investing/2020/04/20/got-1000-buying-these-stocks-now-would-be-a-smart.aspx,30,9,0.143534
27,Lam Research Sees No Letup in Semi Equipment Demand,2020-04-23,https://www.fool.com/investing/2020/04/23/lam-research-sees-no-letup-in-semi-equipment-deman.aspx,13,4,0.0821974
26,Lam Research Corporation Declares Quarterly Dividend,2020-05-15,https://www.globenewswire.com/en/news-release/2020/05/15/2034270/0/en/Lam-Research-Corporation-Declares-Quarterly-Dividend.html,6,3,0.0952116
25,Here’s My Top Stock to Buy in June,2020-06-02,https://www.fool.com/investing/2020/06/02/heres-my-top-stock-to-buy-in-june.aspx,25,8,0.123902
23,"Qualcomm and Lam Research Stock Upgraded on 5G, Outlook",2020-06-16,https://www.thestreet.com/technology/qualcomm-lam-research-upgraded-at-morgan-stanley,5,3,0.0769632
24,"Nasdaq Powers Higher as Baidu Gains, Lam Gets a Lift",2020-06-16,https://www.fool.com/investing/2020/06/16/nasdaq-powers-higher-as-baidu-gains-lam-gets-a-lif.aspx,16,0,0.219963
22,Morgan Stanley Bets on These 3 Hot Tech Stocks,2020-06-17,https://www.nasdaq.com/articles/morgan-stanley-bets-on-these-3-hot-tech-stocks-2020-06-17,22,10,0.112542
37,"Got $3,000 to Invest? These 3 Tech Dividend Stocks Could Make You a Fortune",2020-08-13,https://www.fool.com/investing/2020/08/13/got-3000-to-invest-these-3-tech-dividend-stocks-co/,27,13,0.113405
36,IBD 50 Stocks To Watch: Why This Top Stock In The Semiconductor Space Is Near A New Buy Point,2020-08-17,https://www.investors.com/research/lam-research-stock-in-the-semiconductor-space-is-near-a-new-buy-point/,17,7,0.105334
35,Why Lam Research Stock Fell 10.8% in August,2020-09-03,https://www.nasdaq.com/articles/why-lam-research-stock-fell-10.8-in-august-2020-09-03,15,2,0.178628
34,NFLX: 4 Growth Stocks to BUY on the Dip,2020-09-04,https://stocknews.com/news/nflx-amd-lrcx-fnv-4-growth-stocks-to-buy-on-the-dip/,24,10,0.102604
33,AMAT: 3 TOP Stocks to Buy If the Market Plunges,2020-09-11,https://stocknews.com/news/amat-regn-lrcx-3-top-stocks-to-buy-if-the-market-plunges/,35,15,0.181425
32,Dr. Youssef El-Mansy Retires from Lam Research's Board of Directors,2020-09-14,https://www.globenewswire.com/en/news-release/2020/09/14/2093236/0/en/Dr-Youssef-El-Mansy-Retires-from-Lam-Research-s-Board-of-Directors.html,8,0,0.289318
31,"Why Stifel Is Positive On Semiconductor Equipment Makers Lam Research, KLA",2020-09-21,https://finance.yahoo.com/news/why-stifel-positive-semiconductor-equipment-182704763.html,12,1,0.196779
30,Why I Bought These 2 Tech Stocks Hand-Over-Fist in September,2020-09-27,https://www.fool.com/investing/2020/09/27/why-i-bought-these-2-tech-stocks-hand-over-fist-in/,17,8,0.0869754
43,Jim Cramer Is Bullish On Three Semiconductor Stocks - Benzinga,2020-11-18,https://www.benzinga.com/trading-ideas/long-ideas/20/11/18420517/jim-cramer-is-bullish-on-three-semiconductor-stocks,5,3,0.0336905
44,Lam Research Corporation Announces Participation at Upcoming Conference,2020-11-18,https://www.globenewswire.com/news-release/2020/11/18/2129622/0/en/Lam-Research-Corporation-Announces-Participation-at-Upcoming-Conference.html,6,0,0.312397
42,BRK.B: 3 Warren Buffett Inspired Tech Stocks to Buy Now,2020-11-20,https://stocknews.com/news/brk-b-acn-lrcx-txn-3-warren-buffett-inspired-tech-stocks-to-buy-now/,26,6,0.138626
41,Is Lam Research Corporation (LRCX) Stock Near the Top of the Semiconductor Equipment & Materials Industry?,2020-11-27,https://www.investorsobserver.com/news/stock-update/is-lam-research-corporation-lrcx-stock-near-the-top-of-the-semiconductor-equipment-materials-industry-3,6,0,0.0757576
40,"Why Applied Materials, Lam Research, and ASML Holdings Rocketed as Much as 39.3% in November",2020-12-06,https://www.fool.com/investing/2020/12/06/why-applied-materials-lam-research-and-asml-holdin/,16,1,0.304306
39,Is Lam Research (LRCX) Stock Outpacing Its Computer and Technology Peers This Year?,2020-12-07,https://www.nasdaq.com/articles/is-lam-research-lrcx-stock-outpacing-its-computer-and-technology-peers-this-year-2020-12,8,6,-0.00189076
38,"The Zacks Analyst Blog Highlights: Trade Desk, NVIDIA, Lam Research, Synopsys and Teradyne",2020-12-09,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-trade-170405849.html,35,15,0.0916559
51,3 Top Artificial Intelligence Stocks to Buy in March,2021-03-06,https://www.fool.com/investing/2021/03/06/3-top-artificial-intelligence-stocks-buy-march/,26,11,0.0985408
50,How to Develop Trading Plans for Lam Research $LRCX and other Stocks,2021-03-09,https://news.stocktradersdaily.com/news_release/1/How+to+Develop+Trading+Plans+for+Lam+Research+LRCX+and+other+Stocks_030921061501.html,19,4,0.0855324
49,How to Identify the Opportunity and Potential Pitfalls in Lam Research $LRCX,2021-03-18,https://news.stocktradersdaily.com/news_release/1/How+to+Identify+the+Opportunity+and+Potential+Pitfalls+in+Lam+Research+LRCX_031821121501.html,19,4,0.0908333
48,Is LRCX Stock A Buy or Sell?,2021-03-23,https://finance.yahoo.com/news/lrcx-stock-buy-sell-145048884.html,23,6,0.149138
47,Lam Research Corporation Announces Notice of Full Redemption of 2.625% Senior Convertible Notes Due 2041 of,2021-03-26,https://www.globenewswire.com/en/news-release/2021/03/26/2200287/0/en/Lam-Research-Corporation-Announces-Notice-of-Full-Redemption-of-2-625-Senior-Convertible-Notes-Due-2041-of-Novellus-Systems-Inc.html,7,3,0.104521
46,"Dow Jones Futures Signals Market Rally Retreat Amid Hedge Fund Fallout; Tesla, Nio Story Time Over Investor's ...",2021-03-29,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-asml-buy-zones-tesla-nio-roku/,63,23,0.0978365
45,Lam Research Corporation: Will This 5G Stock Soar to New Heights?,2021-03-30,https://www.profitconfidential.com/stock/lam-research-stock/lam-research-corporation-5g-stock/,12,7,0.065155
58,Is Lam Research Corporation (LRCX) Going to Burn These Hedge Funds?,2021-06-17,https://finance.yahoo.com/news/lam-research-corporation-lrcx-going-144531669.html,29,7,0.154337
57,What Does Lam Research Corporation's (NASDAQ:LRCX) Share Price Indicate?,2021-06-20,https://simplywall.st/stocks/us/semiconductors/nasdaq-lrcx/lam-research/news/what-does-lam-research-corporations-nasdaqlrcx-share-price-i,21,3,0.179332
56,Lam Research (LRCX) Stock Moves 0.51%: What You Should Know,2021-06-22,https://finance.yahoo.com/news/lam-research-lrcx-stock-moves-214509685.html,13,9,0.0418876
55,Should You Be Adding Lam Research (NASDAQ:LRCX) To Your Watchlist Today?,2021-06-28,https://finance.yahoo.com/news/adding-lam-research-nasdaq-lrcx-101843485.html,20,2,0.238354
53,"Lam Research Sets Goal to Operate at 100% Renewable Energy by 2030, Achieve Carbon Net Zero by 2050",2021-06-29,https://finance.yahoo.com/news/lam-research-sets-goal-operate-201500335.html,20,8,0.11314
54,Lam Research (LRCX) Outpaces Stock Market Gains: What You Should Know,2021-06-29,https://finance.yahoo.com/news/lam-research-lrcx-outpaces-stock-214509397.html,14,8,0.0605775
65,Lam Research Corporation Announces a 15% Increase in Quarterly Dividend,2021-08-26,https://www.globenewswire.com/en/news-release/2021/08/26/2287419/0/en/Lam-Research-Corporation-Announces-a-15-Increase-in-Quarterly-Dividend.html,8,3,0.10445
66,Lam Research (LRCX) Stock Moves -0.58%: What You Should Know,2021-08-26,https://www.entrepreneur.com/article/382008,14,10,0.0867046
61,Lam Research Corporation Announces Participation at Upcoming Conference,2021-08-27,https://www.globenewswire.com/news-release/2021/08/27/2287729/0/en/Lam-Research-Corporation-Announces-Participation-at-Upcoming-Conference.html,7,0,0.290693
62,Lam Research (LRCX) Down 5.5% Since Last Earnings Report: Can It Rebound?,2021-08-27,https://www.nasdaq.com/articles/lam-research-lrcx-down-5.5-since-last-earnings-report%3A-can-it-rebound-2021-08-27,15,8,0.0900103
63,Is Lam Research Corporation (LRCX) a Bad Choice in Semiconductor Equipment & Materials Friday?,2021-08-27,https://www.investorsobserver.com/news/stock-update/is-lam-research-corporation-lrcx-a-bad-choice-in-semiconductor-equipment-materials-friday,3,1,0.1125
64,AMAT: 3 Semiconductor Stocks That are a Better Buy Than Advanced Micro Devices,2021-08-27,https://stocknews.com/news/amat-lrcx-adi-amd-3-semiconductor-stocks-that-are-a-better-buy-than-advanced/,16,6,0.112853
60,Lam Research (NASDAQ:LRCX) Has Announced That It Will Be Increasing Its Dividend To US$1.50,2021-08-30,https://simplywall.st/stocks/us/semiconductors/nasdaq-lrcx/lam-research/news/lam-research-nasdaqlrcx-has-announced-that-it-will-be-increa,18,4,0.18943
59,What Is The Ownership Structure Like For Lam Research Corporation (NASDAQ:LRCX)?,2021-08-31,https://www.nasdaq.com/articles/what-is-the-ownership-structure-like-for-lam-research-corporation-nasdaq%3Alrcx-2021-08-31,30,6,0.182648
71,Lam Research (NASDAQ:LRCX) Releases Q2 2022 Earnings Guidance,2021-10-25,https://www.marketbeat.com/instant-alerts/nasdaq-lrcx-earnings-guidance-2021-10-2-3/,11,13,0.0363542
72,Lam Research Names 2021 Supplier Excellence Award Recipients,2021-10-25,https://finance.yahoo.com/news/lam-research-names-2021-supplier-153300511.html,13,1,0.136924
73,Lam Research (NASDAQ:LRCX) Could Easily Take On More Debt,2021-10-25,https://simplywall.st/stocks/us/semiconductors/nasdaq-lrcx/lam-research/news/lam-research-nasdaqlrcx-could-easily-take-on-more-debt,25,9,0.120967
74,AMAT: Applied Materials vs. Lam Research: Which Semiconductor Stock is a Better Investment?,2021-10-25,https://stocknews.com/news/amat-lrcx-applied-materials-vs-lam-research-which-semiconductor-stock-is-a/,23,12,0.0806889
75,3 Tech Stocks You Should Own This Earnings Season,2021-10-25,https://www.fool.com/investing/2021/10/24/3-tech-stocks-you-should-own-this-earnings-season/,39,9,0.132378
67,Is There Now An Opportunity In Lam Research Corporation (NASDAQ:LRCX)?,2021-11-01,https://www.nasdaq.com/articles/is-there-now-an-opportunity-in-lam-research-corporation-nasdaq%3Alrcx-2021-10-29,16,6,0.161143
68,Is Lam Research Corporation (LRCX) Stock Over or Undervalued?,2021-11-01,https://www.investorsobserver.com/news/stock-update/is-lam-research-corporation-lrcx-stock-over-or-undervalued-4,3,1,0.109259
69,How Much Does Lam Research Corporation (LRCX) Pay Out In Dividends?,2021-11-01,https://fostersleader.com/2021/10/28/how-much-does-lam-research-corporation-lrcx-pay-out-in-dividends/,16,14,0.0460635
70,Lam Research (LRCX) Trading Report,2021-11-01,https://news.stocktradersdaily.com/news_release/1/Lam+Research+%28LRCX%29+Trading+Report_103121074501.html,17,7,0.0669909
52,Earnings Growth & Price Strength Make Lam Research (LRCX) a Stock to Watch,2021-11-08,https://www.nasdaq.com/articles/earnings-growth-price-strength-make-lam-research-lrcx-a-stock-to-watch,17,11,0.0738216
83,"The Zacks Analyst Blog Highlights: Mastercard, Linde, Lam Research, Marvell Technology and IDEXX Laboratories",2021-11-09,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-mastercard-121812843.html,20,6,0.148947
84,Zacks Industry Outlook Highlights: Applied Materials and Lam Research,2021-11-09,https://finance.yahoo.com/news/zacks-industry-outlook-highlights-applied-113711787.html,35,21,0.0666026
81,Lam Research (LRCX) Trading Report,2021-11-10,https://news.stocktradersdaily.com/news_release/1/Lam+Research+%28LRCX%29+Trading+Report_111021030001.html,18,4,0.0721776
82,Semiconductor ETFs Flying High on Slew of Q3 Earnings Beat,2021-11-10,https://finance.yahoo.com/news/semiconductor-etfs-flying-high-slew-150503068.html,19,14,0.0735981
78,Lam Research Corporation Declares Quarterly Dividend,2021-11-11,https://www.globenewswire.com/news-release/2021/11/11/2332957/0/en/Lam-Research-Corporation-Declares-Quarterly-Dividend.html,7,3,0.0992517
79,"The Senior VP & GM of the Etch Business Unit of Lam Research Corporation (NASDAQ:LRCX), Vahid Vahedi, Just Sold 30% Of Their Holding",2021-11-11,https://simplywall.st/stocks/us/semiconductors/nasdaq-lrcx/lam-research/news/the-senior-vp-gm-of-the-etch-business-unit-of-lam-research-c,16,4,0.160934
80,Lam Research (LRCX) falls 2.59% on Moderate Volume November 10,2021-11-11,https://www.equities.com/news/lam-research-lrcx-falls-2-59-on-moderate-volume-november-10,19,3,0.197817
76,Lam Research Co. (NASDAQ:LRCX) Plans $1.50 Quarterly Dividend,2021-11-12,https://www.marketbeat.com/instant-alerts/nasdaq-lrcx-dividend-announcement-2021-11-2-3/,12,9,0.0571667
77,Lam Research Declares Quarterly Dividend | STL.News,2021-11-12,https://www.stl.news/lam-research-declares-quarterly-dividend/467649/,3,2,0.166667
