,title,datetime,link,positive,negative,polarity
13,"Bishop Amat, La Serna football teams begin summer conditioning workouts",2020-06-30,https://www.sgvtribune.com/2020/06/30/bishop-amat-la-serna-begin-summer-conditioning-football-workouts,16,5,0.141073
21,"Texas restaurant hosts 'Karen Day,' provides free food to anyone named Karen",2020-08-18,https://www.foxnews.com/food-drink/texas-restaurant-karen-day-free-food,8,1,0.146886
19,"If high school football resumes, will Bishop Amat’s Dyson McCutcheon play?",2020-08-19,https://www.sgvtribune.com/2020/08/19/if-high-school-football-resumes-will-bishop-amats-dyson-mccutcheon-play,22,9,0.108942
20,Some women’s soccer coaches at Cerritos College accused of wrongdoing,2020-08-19,https://www.presstelegram.com/2020/08/19/some-womens-soccer-coaches-at-cerritos-college-accused-of-wrongdoing,7,6,-5.74713E-05
18,Veterans Voice: Honors for WWII vet remembered as a woman with ’the heart of an adventurer’,2020-08-30,https://www.providencejournal.com/news/20200830/veterans-voice-honors-for-wwii-vet-remembered-as-woman-with-rsquothe-heart-of-adventurerrsquo,23,14,0.0894335
23,Jim Cramer Is Bullish On Three Semiconductor Stocks - Benzinga,2020-11-18,https://www.benzinga.com/trading-ideas/long-ideas/20/11/18420517/jim-cramer-is-bullish-on-three-semiconductor-stocks,5,3,0.0336905
22,"TSM: 4 ""Strong Buy"" Tech Stocks That Will Continue to Dominate in 2021",2020-11-20,https://stocknews.com/news/tsm-qcom-avgo-amat-4-strong-buy-tech-stocks-that-will-continue-to-dominate/,27,14,0.102646
24,"Dow Jones Futures: Stock Market Rally Takes Trump Veto Threat In Stride; China Launches Alibaba Probe, 6 Chip ...",2020-12-24,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-stimulus-deal-trump-veto-threat-china-alibaba-probe-amd-apple-chipmakers-buy-points/,41,13,0.113028
25,Time To Sell Applied Materials Stock?,2020-12-24,https://www.nasdaq.com/articles/time-to-sell-applied-materials-stock-2020-12-24,15,4,0.0586808
26,Child among 4 dead in shooting at California office building,2021-03-31,https://www.cnbc.com/2021/04/01/police-in-orange-california-report-shooting-with-multiple-victims-fatalities.html,6,8,-0.0488409
27,"Four Killed, Including a 9-Year-Old Boy, in Shooting at Business Complex in Orange",2021-03-31,https://www.nbclosangeles.com/news/local/mass-shooting-orange-business-office-complex-california/2563778/,7,10,-0.0119755
28,"4 people, including a child, dead in shooting at Southern California office building; suspect injured",2021-03-31,https://www.usatoday.com/story/news/nation/2021/03/31/orange-california-shooting-4-dead-including-child-suspect-injured/4831701001/,1,8,-0.0830357
29,Child among 4 dead in shooting at Orange business park; gunman in custody: Police,2021-03-31,https://ktla.com/news/local-news/multiple-people-dead-after-shooting-in-orange-police/,7,10,-0.025824
30,"4 killed, including child, in SoCal office building shooting",2021-03-31,https://fox5sandiego.com/news/california-news/multiple-people-dead-in-shooting-at-socal-business-complex/,3,23,-0.0852273
31,"Applied Materials Inc. [AMAT] Revenue clocked in at $18.20 billion, up 46.88% YTD: What's Next?",2021-03-31,https://dbtnews.com/2021/03/31/applied-materials-inc-amat-revenue-clocked-in-at-18-20-billion-up-46-88-ytd-whats-next/,22,10,0.0713106
32,Police: Gunman knew victims in California building attack,2021-03-31,https://www.12news.com/article/news/nation-world/orange-california-shooting-multiple-deaths/507-6d72b913-3b7c-4a32-b478-394b5a62e4eb,4,12,-0.0730159
33,Child among 4 dead in shooting at Orange business park; gunman in custody: Police,2021-03-31,https://www.kget.com/news/state-news/multiple-people-dead-after-shooting-in-orange-police/,1,2,0.0466667
38,AMAT Stock: Applied Materials Surges After Fiscal Q2 Report,2021-05-24,https://www.investors.com/research/ibd-stock-of-the-day/amat-stock-applied-materials-surges-after-fiscal-q2-report/,13,5,0.138958
37,CPS Appoints Tianay Amat As Interim Superintendent,2021-05-25,https://www.wvxu.org/education/2021-05-25/cps-appoints-tianay-amat-as-interim-superintendent,7,1,0.197415
36,I Would Rebuy Applied Materials on a Dip,2021-05-26,https://realmoney.thestreet.com/investing/i-would-rebuy-applied-materials-on-a-dip-15666685,7,4,0.0233471
34,Press kit - Equation - Amat & Saint-Val Architectes | v2com-newswire,2021-05-31,https://www.v2com-newswire.com/en/newsroom/categories/commercial-architecture/press-kits/5618-01/equation,13,4,0.144992
35,Are You Looking for a Top Momentum Pick? Why Applied Materials (AMAT) is a Great Choice,2021-05-31,https://finance.yahoo.com/news/looking-top-momentum-pick-why-160004924.html,18,10,0.0952546
39,Tobin O’Dell and Bishop Amat football dominate La Habra,2021-08-27,https://www.sgvtribune.com/2021/08/27/tobin-odell-and-bishop-amat-football-dominate-la-habra,12,33,0.0167851
40,AMAT: 3 Semiconductor Stocks That are a Better Buy Than Advanced Micro Devices,2021-08-27,https://stocknews.com/news/amat-lrcx-adi-amd-3-semiconductor-stocks-that-are-a-better-buy-than-advanced/,16,6,0.112853
41,"Should You Buy Applied Materials, Inc. (AMAT) Stock Friday?",2021-08-27,https://www.investorsobserver.com/news/stock-update/should-you-buy-applied-materials-inc-amat-stock-friday-3,2,3,-0.109936
45,"Does Applied Materials, Inc. (AMAT) Have What it Takes to be in Your Portfolio Wednesday?",2021-10-25,https://www.investorsobserver.com/news/stock-update/does-applied-materials-inc-amat-have-what-it-takes-to-be-in-your-portfolio-wednesday,3,1,0.1125
46,"In ‘Oh, It Hertz!’ an obscure conspiracy theory provides a lesson in listening",2021-10-25,https://datebook.sfchronicle.com/movies-tv/in-oh-it-hertz-an-obscure-conspiracy-theory-provides-a-lesson-in-listening,25,7,0.161447
42,Bishop Amat football edges Serra in Mission League overtime thriller,2021-11-01,https://www.dailybreeze.com/2021/10/29/bishop-amat-football-edges-serra-in-overtime-thriller,18,15,0.10816
43,"When the Price of Applied Materials AMAT Talks, People Listen",2021-11-01,https://news.stocktradersdaily.com/news_release/1/When+the+Price+of++Applied+Materials+AMAT++Talks%2C+People+Listen_102821074502.html,16,6,0.0728914
44,"Applied Materials, Inc. (AMAT) Stock Rises 1.03% This Week; Should You Buy?",2021-11-01,https://www.investorsobserver.com/news/stock-update/applied-materials-inc-amat-stock-rises-1-03-this-week-should-you-buy,1,4,-0.130449
50,The 12-Month Price Target For Applied Materials Inc. (NASDAQ:AMAT) Is Now $195.00.,2021-11-12,https://marketingsentinel.com/2021/11/12/the-12-month-price-target-for-applied-materials-inc-nasdaqamat-is-now-195-00/,16,8,0.0876721
51,A Look At Insider Reactions To Applied Materials Inc. (AMAT),2021-11-12,https://fostersleader.com/2021/11/12/a-look-at-insider-reactions-to-applied-materials-inc-amat/,17,13,0.0516296
52,NVIDIA (NVDA) to Report Q3 Earnings: What's in the Offing?,2021-11-12,https://finance.yahoo.com/news/nvidia-nvda-report-q3-earnings-133901134.html,12,13,0.0143804
49,Floyd Chalk and Alemany too much for Bishop Amat again,2021-11-13,https://www.sgvtribune.com/2021/11/12/floyd-chalk-and-alemany-too-much-for-bishop-amat-again,16,7,0.121587
47,What's in Store for Applied Materials (AMAT) in Q4 Earnings?,2021-11-15,https://www.entrepreneur.com/article/397294,12,12,0.0553997
48,Why Applied Materials (AMAT) Might Surprise This Earnings Season,2021-11-15,https://www.nasdaq.com/articles/why-applied-materials-amat-might-surprise-this-earnings-season-2021-11-15,9,4,0.171599
